"EPC","Time","Antenna","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)","DopplerShift(Hz)","Velocity"
"FFFFFFFFFFFFFFFFE2000005","1448518096206136","1","0","6.25250569142187","358.2421875","0","0"
"FFFFFFFFFFFFFFFFE2000005","1448518096206136","1","0","6.25250569142187","358.2421875","52","0"
"FFFFFFFFFFFFFFFFE2000005","1448518096206136","1","-25","6.25250569142187","358.2421875","52","0"
"FFFFFFFFFFFFFFFFE2000005","1448518096249299","1","-25","3.098641191529","177.5390625","52","0"
"FFFFFFFFFFFFFFFFE2000005","1448518096249299","1","-25","3.098641191529","177.5390625","130","0"
"FFFFFFFFFFFFFFFFE2000005","1448518096249299","1","-24","3.098641191529","177.5390625","130","0"
"FFFFFFFFFFFFFFFFE2000005","1448518096295594","1","-24","3.11704896098362","178.59375","130","0"
"FFFFFFFFFFFFFFFFE2000005","1448518096295594","1","-24","3.11704896098362","178.59375","78","0"
"FFFFFFFFFFFFFFFFE2000005","1448518096295594","1","-25","3.11704896098362","178.59375","78","0"
"FFFFFFFFFFFFFFFFE2000005","1448518096339833","1","-25","3.11704896098362","178.59375","78","0.0041497063499028"
"FFFFFFFFFFFFFFFFE2000005","1448518096339833","1","-25","3.11704896098362","178.59375","78","0.0041497063499028"
"FFFFFFFFFFFFFFFFE2000005","1448518096339833","1","-25","3.11704896098362","178.59375","78","0.0041497063499028"
"FFFFFFFFFFFFFFFFE2000005","1448518096387858","1","-25","3.11704896098362","178.59375","78","0.00248982380994168"
"FFFFFFFFFFFFFFFFE2000005","1448518096387858","1","-25","3.11704896098362","178.59375","104","0.00248982380994168"
"FFFFFFFFFFFFFFFFE2000005","1448518096387858","1","-25","3.11704896098362","178.59375","104","0.00248982380994168"
"FFFFFFFFFFFFFFFFE2000005","1448518096432699","1","-25","3.11704896098362","178.59375","104","0.00149389428596501"
"FFFFFFFFFFFFFFFFE2000005","1448518096432699","1","-25","3.11704896098362","178.59375","130","0.00149389428596501"
"FFFFFFFFFFFFFFFFE2000005","1448518096432699","1","-25","3.11704896098362","178.59375","130","0.00149389428596501"
"FFFFFFFFFFFFFFFFE2000005","1448518096480210","1","-25","3.14159265358979","180","130","0.000896336571579004"
"FFFFFFFFFFFFFFFFE2000005","1448518096480210","1","-25","3.14159265358979","180","52","0.000896336571579004"
"FFFFFFFFFFFFFFFFE2000005","1448518096480210","1","-25","3.14159265358979","180","52","0.000896336571579004"
"FFFFFFFFFFFFFFFFE2000005","1448518096526192","1","-25","3.11704896098362","178.59375","52","0.00592913322675536"
"FFFFFFFFFFFFFFFFE2000005","1448518096526192","1","-25","3.11704896098362","178.59375","156","0.00592913322675536"
"FFFFFFFFFFFFFFFFE2000005","1448518096526192","1","-25","3.11704896098362","178.59375","156","0.00592913322675536"
"FFFFFFFFFFFFFFFFE2000005","1448518096571397","1","-25","3.12318488413517","178.9453125","156","-0.00201312466194165"
"FFFFFFFFFFFFFFFFE2000005","1448518096571397","1","-25","3.12318488413517","178.9453125","130","-0.00201312466194165"
