"EPC","Time","Antenna","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)","DopplerShift(Hz)","Velocity"
"FFFFFFFFFFFFFFFFE2000005","1448518499931274","1","0","3.15386449989288","180.703125","0","0"
"FFFFFFFFFFFFFFFFE2000005","1448518499931274","1","0","3.15386449989288","180.703125","117","0"
"FFFFFFFFFFFFFFFFE2000005","1448518499931274","1","-25","3.15386449989288","180.703125","117","0"
"FFFFFFFFFFFFFFFFE2000005","1448518500191507","1","-25","3.14772857674134","180.3515625","117","0"
"FFFFFFFFFFFFFFFFE2000005","1448518500191507","1","-25","3.14772857674134","180.3515625","78","0"
"FFFFFFFFFFFFFFFFE2000005","1448518500191507","1","-25","3.14772857674134","180.3515625","78","0"
"FFFFFFFFFFFFFFFFE2000005","1448518500238738","1","-25","3.14772857674134","180.3515625","78","-0.000246075190910645"
"FFFFFFFFFFFFFFFFE2000005","1448518500238738","1","-25","3.14772857674134","180.3515625","78","-0.000246075190910645"
"FFFFFFFFFFFFFFFFE2000005","1448518500238738","1","-25","3.14772857674134","180.3515625","78","-0.000246075190910645"
"FFFFFFFFFFFFFFFFE2000005","1448518500283853","1","-25","3.14772857674134","180.3515625","78","-0.000147645114546387"
"FFFFFFFFFFFFFFFFE2000005","1448518500283853","1","-25","3.14772857674134","180.3515625","104","-0.000147645114546387"
"FFFFFFFFFFFFFFFFE2000005","1448518500283853","1","-25","3.14772857674134","180.3515625","104","-0.000147645114546387"
"FFFFFFFFFFFFFFFFE2000005","1448518500329042","1","-25","3.16000042304442","181.0546875","104","-8.85870687278324E-05"
"FFFFFFFFFFFFFFFFE2000005","1448518500329042","1","-25","3.16000042304442","181.0546875","78","-8.85870687278324E-05"
"FFFFFFFFFFFFFFFFE2000005","1448518500329042","1","-25","3.16000042304442","181.0546875","78","-8.85870687278324E-05"
"FFFFFFFFFFFFFFFFE2000005","1448518500374852","1","-25","3.15386449989288","180.703125","78","0.00278102798652891"
"FFFFFFFFFFFFFFFFE2000005","1448518500374852","1","-25","3.15386449989288","180.703125","117","0.00278102798652891"
"FFFFFFFFFFFFFFFFE2000005","1448518500374852","1","-25","3.15386449989288","180.703125","117","0.00278102798652891"
"FFFFFFFFFFFFFFFFE2000005","1448518500421826","1","-25","3.16000042304442","181.0546875","117","0.000270736740482068"
"FFFFFFFFFFFFFFFFE2000005","1448518500421826","1","-25","3.16000042304442","181.0546875","78","0.000270736740482068"
"FFFFFFFFFFFFFFFFE2000005","1448518500421826","1","-25","3.16000042304442","181.0546875","78","0.000270736740482068"
"FFFFFFFFFFFFFFFFE2000005","1448518500466609","1","-25","3.15386449989288","180.703125","78","0.001525683095855"
"FFFFFFFFFFFFFFFFE2000005","1448518500466609","1","-25","3.15386449989288","180.703125","130","0.001525683095855"
"FFFFFFFFFFFFFFFFE2000005","1448518500466609","1","-25","3.15386449989288","180.703125","130","0.001525683095855"
"FFFFFFFFFFFFFFFFE2000005","1448518500514127","1","-25","3.14772857674134","180.3515625","130","-0.000514527510601016"
