"EPC","Time","Antenna","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)","DopplerShift(Hz)","Velocity"
"FFFFFFFFFFFFFFFFE2000005","1448518668890226","1","0","2.53413626158708","145.1953125","0","0"
"FFFFFFFFFFFFFFFFE2000005","1448518668890226","1","0","2.53413626158708","145.1953125","221","0"
"FFFFFFFFFFFFFFFFE2000005","1448518668890226","1","-62","2.53413626158708","145.1953125","221","0"
"FFFFFFFFFFFFFFFFE2000005","1448518668937142","1","-62","2.52800033843554","144.84375","221","0"
"FFFFFFFFFFFFFFFFE2000005","1448518668937142","1","-62","2.52800033843554","144.84375","221","0"
"FFFFFFFFFFFFFFFFE2000005","1448518668937142","1","-62","2.52800033843554","144.84375","221","0"
"FFFFFFFFFFFFFFFFE2000005","1448518668984421","1","-62","2.51572849213245","144.140625","221","-0.00136492636107618"
"FFFFFFFFFFFFFFFFE2000005","1448518668984421","1","-62","2.51572849213245","144.140625","182","-0.00136492636107618"
"FFFFFFFFFFFFFFFFE2000005","1448518668984421","1","-62","2.51572849213245","144.140625","182","-0.00136492636107618"
"FFFFFFFFFFFFFFFFE2000005","1448518669026645","1","-62","2.57095180049633","147.3046875","182","-0.00352784920086492"
"FFFFFFFFFFFFFFFFE2000005","1448518669026645","1","-62","2.57095180049633","147.3046875","0","-0.00352784920086492"
"FFFFFFFFFFFFFFFFE2000005","1448518669026645","1","-62","2.57095180049633","147.3046875","0","-0.00352784920086492"
"FFFFFFFFFFFFFFFFE2000005","1448518669076450","1","-62","2.57708772364788","147.65625","0","0.0115326833936116"
"FFFFFFFFFFFFFFFFE2000005","1448518669076450","1","-62","2.57708772364788","147.65625","-26","0.0115326833936116"
"FFFFFFFFFFFFFFFFE2000005","1448518669076450","1","-61","2.57708772364788","147.65625","-26","0.0115326833936116"
"FFFFFFFFFFFFFFFFE2000005","1448518669119210","1","-61","2.58322364679942","148.0078125","-26","0.00820536217262417"
"FFFFFFFFFFFFFFFFE2000005","1448518669119210","1","-61","2.58322364679942","148.0078125","-273","0.00820536217262417"
"FFFFFFFFFFFFFFFFE2000005","1448518669119210","1","-61","2.58322364679942","148.0078125","-273","0.00820536217262417"
"FFFFFFFFFFFFFFFFE2000005","1448518669165620","1","-61","2.56481587734479","146.953125","-273","0.00642080582453451"
"FFFFFFFFFFFFFFFFE2000005","1448518669165620","1","-61","2.56481587734479","146.953125","-729","0.00642080582453451"
"FFFFFFFFFFFFFFFFE2000005","1448518669165620","1","-62","2.56481587734479","146.953125","-729","0.00642080582453451"
"FFFFFFFFFFFFFFFFE2000005","1448518669210207","1","-62","2.50959256898091","143.7890625","-729","-0.000286940238714976"
"FFFFFFFFFFFFFFFFE2000005","1448518669210207","1","-62","2.50959256898091","143.7890625","182","-0.000286940238714976"
"FFFFFFFFFFFFFFFFE2000005","1448518669210207","1","-62","2.50959256898091","143.7890625","182","-0.000286940238714976"
"FFFFFFFFFFFFFFFFE2000005","1448518669255460","1","-62","2.50959256898091","143.7890625","182","-0.0130981732132774"
"FFFFFFFFFFFFFFFFE2000005","1448518669255460","1","-62","2.50959256898091","143.7890625","26","-0.0130981732132774"
"FFFFFFFFFFFFFFFFE2000005","1448518669255460","1","-61","2.50959256898091","143.7890625","26","-0.0130981732132774"
"FFFFFFFFFFFFFFFFE2000005","1448518669302397","1","-61","2.52800033843554","144.84375","26","-0.00785890392796646"
"FFFFFFFFFFFFFFFFE2000005","1448518669302397","1","-61","2.52800033843554","144.84375","-208","-0.00785890392796646"
"FFFFFFFFFFFFFFFFE2000005","1448518669302397","1","-62","2.52800033843554","144.84375","-208","-0.00785890392796646"
"FFFFFFFFFFFFFFFFE2000005","1448518669348912","1","-62","2.52186441528399","144.4921875","-208","-0.000622395311405224"
"FFFFFFFFFFFFFFFFE2000005","1448518669348912","1","-62","2.52186441528399","144.4921875","-247","-0.000622395311405224"
"FFFFFFFFFFFFFFFFE2000005","1448518669348912","1","-62","2.52186441528399","144.4921875","-247","-0.000622395311405224"
"FFFFFFFFFFFFFFFFE2000005","1448518669393470","1","-62","2.48504887637474","142.3828125","-247","-0.00175013040744402"
"FFFFFFFFFFFFFFFFE2000005","1448518669393470","1","-62","2.48504887637474","142.3828125","78","-0.00175013040744402"
"FFFFFFFFFFFFFFFFE2000005","1448518669393470","1","-61","2.48504887637474","142.3828125","78","-0.00175013040744402"
"FFFFFFFFFFFFFFFFE2000005","1448518669436854","1","-61","2.52800033843554","144.84375","78","-0.00967302610876687"
"FFFFFFFFFFFFFFFFE2000005","1448518669436854","1","-61","2.52800033843554","144.84375","-182","-0.00967302610876687"
"FFFFFFFFFFFFFFFFE2000005","1448518669436854","1","-62","2.52800033843554","144.84375","-182","-0.00967302610876687"
"FFFFFFFFFFFFFFFFE2000005","1448518669483174","1","-62","2.50959256898091","143.7890625","-182","0.00452852335589399"
"FFFFFFFFFFFFFFFFE2000005","1448518669483174","1","-62","2.50959256898091","143.7890625","-52","0.00452852335589399"
"FFFFFFFFFFFFFFFFE2000005","1448518669483174","1","-62","2.50959256898091","143.7890625","-52","0.00452852335589399"
"FFFFFFFFFFFFFFFFE2000005","1448518669529265","1","-62","2.53413626158708","145.1953125","-52","-0.00143035264166114"
"FFFFFFFFFFFFFFFFE2000005","1448518669529265","1","-62","2.53413626158708","145.1953125","78","-0.00143035264166114"
"FFFFFFFFFFFFFFFFE2000005","1448518669529265","1","-62","2.53413626158708","145.1953125","78","-0.00143035264166114"
"FFFFFFFFFFFFFFFFE2000005","1448518669575496","1","-62","2.55867995419325","146.6015625","78","0.00469921916341407"
