"EPC","Time","Antenna","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)","DopplerShift(Hz)","Velocity"
"FFFFFFFFFFFFFFFFE2000005","1448519882273529","1","0","4.27673843662517","245.0390625","0","0"
"FFFFFFFFFFFFFFFFE2000005","1448519882273529","1","0","4.27673843662517","245.0390625","-52","0"
"FFFFFFFFFFFFFFFFE2000005","1448519882273529","1","-60","4.27673843662517","245.0390625","-52","0"
"FFFFFFFFFFFFFFFFE2000005","1448519882321170","1","-60","4.30741805238288","246.796875","-52","0"
"FFFFFFFFFFFFFFFFE2000005","1448519882321170","1","-60","4.30741805238288","246.796875","-221","0"
"FFFFFFFFFFFFFFFFE2000005","1448519882321170","1","-60","4.30741805238288","246.796875","-221","0"
"FFFFFFFFFFFFFFFFE2000005","1448519882583709","1","-60","4.252194744019","243.6328125","-221","0.00672077466428601"
"FFFFFFFFFFFFFFFFE2000005","1448519882583709","1","-60","4.252194744019","243.6328125","-52","0.00672077466428601"
"FFFFFFFFFFFFFFFFE2000005","1448519882583709","1","-59","4.252194744019","243.6328125","-52","0.00672077466428601"
"FFFFFFFFFFFFFFFFE2000005","1448519882630710","1","-59","4.29514620607979","246.09375","-52","0.00183724059795284"
"FFFFFFFFFFFFFFFFE2000005","1448519882630710","1","-59","4.29514620607979","246.09375","-273","0.00183724059795284"
"FFFFFFFFFFFFFFFFE2000005","1448519882630710","1","-59","4.29514620607979","246.09375","-273","0.00183724059795284"
"FFFFFFFFFFFFFFFFE2000005","1448519882672282","1","-59","4.18469958935203","239.765625","-273","0.0106395498670322"
"FFFFFFFFFFFFFFFFE2000005","1448519882672282","1","-59","4.18469958935203","239.765625","208","0.0106395498670322"
"FFFFFFFFFFFFFFFFE2000005","1448519882672282","1","-59","4.18469958935203","239.765625","208","0.0106395498670322"
"FFFFFFFFFFFFFFFFE2000005","1448519882721008","1","-59","4.22151512826128","241.875","208","-0.021343200052178"
"FFFFFFFFFFFFFFFFE2000005","1448519882721008","1","-59","4.22151512826128","241.875","221","-0.021343200052178"
"FFFFFFFFFFFFFFFFE2000005","1448519882721008","1","-59","4.22151512826128","241.875","221","-0.021343200052178"
"FFFFFFFFFFFFFFFFE2000005","1448519882763813","1","-59","4.23992289771591","242.9296875","221","-0.00492057522694156"
"FFFFFFFFFFFFFFFFE2000005","1448519882763813","1","-59","4.23992289771591","242.9296875","52","-0.00492057522694156"
"FFFFFFFFFFFFFFFFE2000005","1448519882763813","1","-60","4.23992289771591","242.9296875","52","-0.00492057522694156"
"FFFFFFFFFFFFFFFFE2000005","1448519882812386","1","-60","4.21537920510974","241.5234375","52","0.00153569727637448"
"FFFFFFFFFFFFFFFFE2000005","1448519882812386","1","-60","4.21537920510974","241.5234375","-52","0.00153569727637448"
"FFFFFFFFFFFFFFFFE2000005","1448519882812386","1","-59","4.21537920510974","241.5234375","-52","0.00153569727637448"
"FFFFFFFFFFFFFFFFE2000005","1448519882856302","1","-59","4.23992289771591","242.9296875","-52","-0.00435203685878569"
"FFFFFFFFFFFFFFFFE2000005","1448519882856302","1","-59","4.23992289771591","242.9296875","-221","-0.00435203685878569"
"FFFFFFFFFFFFFFFFE2000005","1448519882856302","1","-59","4.23992289771591","242.9296875","-221","-0.00435203685878569"
"FFFFFFFFFFFFFFFFE2000005","1448519882902807","1","-59","4.19697143565511","240.46875","-221","0.00322144799641909"
"FFFFFFFFFFFFFFFFE2000005","1448519882902807","1","-59","4.19697143565511","240.46875","221","0.00322144799641909"
"FFFFFFFFFFFFFFFFE2000005","1448519882902807","1","-60","4.19697143565511","240.46875","221","0.00322144799641909"
"FFFFFFFFFFFFFFFFE2000005","1448519882946189","1","-60","4.20310735880666","240.8203125","221","-0.00770605596494287"
"FFFFFFFFFFFFFFFFE2000005","1448519882946189","1","-60","4.20310735880666","240.8203125","182","-0.00770605596494287"
"FFFFFFFFFFFFFFFFE2000005","1448519882946189","1","-59","4.20310735880666","240.8203125","182","-0.00770605596494287"
"FFFFFFFFFFFFFFFFE2000005","1448519882993058","1","-59","4.252194744019","243.6328125","182","-0.00314751709848419"
"FFFFFFFFFFFFFFFFE2000005","1448519882993058","1","-59","4.252194744019","243.6328125","-78","-0.00314751709848419"
"FFFFFFFFFFFFFFFFE2000005","1448519882993058","1","-59","4.252194744019","243.6328125","-78","-0.00314751709848419"
"FFFFFFFFFFFFFFFFE2000005","1448519883036363","1","-59","4.2092432819582","241.171875","-78","0.00904185056042772"
"FFFFFFFFFFFFFFFFE2000005","1448519883036363","1","-59","4.2092432819582","241.171875","26","0.00904185056042772"
"FFFFFFFFFFFFFFFFE2000005","1448519883036363","1","-59","4.2092432819582","241.171875","26","0.00904185056042772"
"FFFFFFFFFFFFFFFFE2000005","1448519883085422","1","-59","4.19697143565511","240.46875","26","-0.00492607765805696"
"FFFFFFFFFFFFFFFFE2000005","1448519883085422","1","-59","4.19697143565511","240.46875","273","-0.00492607765805696"
"FFFFFFFFFFFFFFFFE2000005","1448519883085422","1","-59","4.19697143565511","240.46875","273","-0.00492607765805696"
"FFFFFFFFFFFFFFFFE2000005","1448519883128321","1","-59","4.19697143565511","240.46875","273","-0.00556625362539941"
"FFFFFFFFFFFFFFFFE2000005","1448519883128321","1","-59","4.19697143565511","240.46875","156","-0.00556625362539941"
"FFFFFFFFFFFFFFFFE2000005","1448519883128321","1","-59","4.19697143565511","240.46875","156","-0.00556625362539941"
"FFFFFFFFFFFFFFFFE2000005","1448519883175640","1","-59","4.27673843662517","245.0390625","156","-0.00333975217523965"
