"EPC","DopplerShift(Hz)","Time","Antenna","RSS(dbm)","PhaseAngle(Radian)","PhaseAngle(Degree)",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","0","0.3098641191529","0",""
"FFFFFFFFFFFFFFFFE2000005","97","0","0","0","0.3098641191529","0",""
"FFFFFFFFFFFFFFFFE2000005","97","0","0","-3200","0.3098641191529","0",""
"FFFFFFFFFFFFFFFFE2000005","97","0","0","-3200","0.325203927031756","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3200","0.325203927031756","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3050","0.325203927031756","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3050","0.331339850183298","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3050","0.331339850183298","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3050","0.331339850183298","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3050","0.319068003880213","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3050","0.319068003880213","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3100","0.319068003880213","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3100","0.306796157577128","0",""
"FFFFFFFFFFFFFFFFE2000005","-26","0","0","-3100","0.306796157577128","0",""
"FFFFFFFFFFFFFFFFE2000005","-26","0","0","-3100","0.306796157577128","0",""
"FFFFFFFFFFFFFFFFE2000005","-26","0","0","-3100","0.26384469551633","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-3100","0.26384469551633","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-3100","0.26384469551633","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-3100","0.220893233455532","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3100","0.220893233455532","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3150","0.220893233455532","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3150","0.122718463030851","0",""
"FFFFFFFFFFFFFFFFE2000005","-26","0","0","-3150","0.122718463030851","0",""
"FFFFFFFFFFFFFFFFE2000005","-26","0","0","-3200","0.122718463030851","0",""
"FFFFFFFFFFFFFFFFE2000005","-26","0","0","-3200","0.042951462060798","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-3200","0.042951462060798","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-3250","0.042951462060798","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-3250","6.25864161457342","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-3250","6.25864161457342","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-3300","6.25864161457342","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-3300","6.24636976827033","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","6.24636976827033","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","6.24636976827033","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","6.23409792196725","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","6.23409792196725","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","6.23409792196725","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","6.26477753772496","0",""
"FFFFFFFFFFFFFFFFE2000005","-78","0","0","-3300","6.26477753772496","0",""
"FFFFFFFFFFFFFFFFE2000005","-78","0","0","-3300","6.26477753772496","0",""
"FFFFFFFFFFFFFFFFE2000005","-78","0","0","-3300","6.25250569142187","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","6.25250569142187","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","6.25250569142187","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","0.0122718463030851","0",""
"FFFFFFFFFFFFFFFFE2000005","-26","0","0","-3300","0.0122718463030851","0",""
"FFFFFFFFFFFFFFFFE2000005","-26","0","0","-3300","0.0122718463030851","0",""
"FFFFFFFFFFFFFFFFE2000005","-26","0","0","-3300","0.0306796157577128","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","0.0306796157577128","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3250","0.0306796157577128","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3250","6.25864161457342","0",""
"FFFFFFFFFFFFFFFFE2000005","-156","0","0","-3250","6.25864161457342","0",""
"FFFFFFFFFFFFFFFFE2000005","-156","0","0","-3300","6.25864161457342","0",""
"FFFFFFFFFFFFFFFFE2000005","-156","0","0","-3300","6.12365130523948","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-3300","6.12365130523948","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-3250","6.12365130523948","0",""
"FFFFFFFFFFFFFFFFE2000005","52","0","0","-3250","6.00093284220863","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-3250","6.00093284220863","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-3250","6.00093284220863","0",""
"FFFFFFFFFFFFFFFFE2000005","26","0","0","-3250","5.82299107081389","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-3250","5.82299107081389","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-3300","5.82299107081389","0",""
"FFFFFFFFFFFFFFFFE2000005","78","0","0","-3300","6.07456392002714","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3300","6.07456392002714","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3350","6.07456392002714","0",""
"FFFFFFFFFFFFFFFFE2000005","0","0","0","-3350","6.20955422936108","0",""
"FFFFFFFFFFFFFFFFE2000005","-104","0","0","-3350","6.20955422936108","0",""
"FFFFFFFFFFFFFFFFE2000005","-104","0","0","-3300","6.20955422936108","0",""
"FFFFFFFFFFFFFFFFE2000005","-104","0","0","-3300","0.0245436926061703","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3300","0.0245436926061703","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3250","0.0245436926061703","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3250","6.21569015251262","0",""
"FFFFFFFFFFFFFFFFE2000005","-52","0","0","-3250","6.21569015251262","0",""
